2026-04-09 13:31:55,ci_lab,6c:31:0e:56:e1:25:-42,f8:0b:cb:f3:88:05:-43,40:01:7a:53:96:8d:-45,40:01:7a:53:96:8b:-46,40:01:7a:53:96:8a:-46
2026-04-09 13:31:58,ci_lab,40:01:7a:53:96:8e:-38,40:01:7a:53:96:8f:-38,40:01:7a:53:96:8d:-39,40:01:7a:53:96:8c:-39,40:01:7a:53:96:8b:-39
2026-04-09 13:32:00,ci_lab,40:01:7a:53:96:8e:-38,40:01:7a:53:96:8f:-38,40:01:7a:53:96:8d:-39,40:01:7a:53:96:8c:-39,40:01:7a:53:96:8b:-39
2026-04-09 13:32:04,ci_lab,40:01:7a:53:96:8e:-46,40:01:7a:53:96:8b:-46,6c:31:0e:56:e1:25:-47,40:01:7a:53:96:8d:-47,40:01:7a:53:96:8c:-47
2026-04-09 13:32:06,ci_lab,40:01:7a:53:96:8e:-46,40:01:7a:53:96:8b:-46,6c:31:0e:56:e1:25:-47,40:01:7a:53:96:8d:-47,40:01:7a:53:96:8c:-47
2026-04-09 13:32:10,ci_lab,40:01:7a:53:96:8e:-46,40:01:7a:53:96:8b:-46,6c:31:0e:56:e1:25:-47,40:01:7a:53:96:8d:-47,40:01:7a:53:96:8c:-47
2026-04-09 13:32:13,ci_lab,40:01:7a:53:96:84:-33,40:01:7a:53:96:85:-35,6c:31:0e:56:e1:25:-42,40:01:7a:53:96:8e:-43,40:01:7a:53:96:8d:-43
2026-04-09 13:32:14,ci_lab,40:01:7a:53:96:84:-33,40:01:7a:53:96:85:-35,6c:31:0e:56:e1:25:-42,40:01:7a:53:96:8e:-43,40:01:7a:53:96:8d:-43
2026-04-09 13:32:20,ci_lab,6c:31:0e:56:e1:25:-38,00:df:1d:62:f9:45:-52,00:df:1d:62:f9:44:-52,00:df:1d:62:f9:43:-52,00:df:1d:62:f9:42:-52
2026-04-09 13:32:21,ci_lab,6c:31:0e:56:e1:25:-38,00:df:1d:62:f9:45:-52,00:df:1d:62:f9:44:-52,00:df:1d:62:f9:43:-52,00:df:1d:62:f9:42:-52
2026-04-09 13:32:26,ci_lab,40:01:7a:53:96:81:-35,6c:31:0e:56:e1:25:-44,5c:60:ba:2c:29:05:-47,f8:0b:cb:f3:88:00:-47,2e:98:11:8b:1f:9e:-54
2026-04-09 13:32:27,ci_lab,40:01:7a:53:96:81:-35,6c:31:0e:56:e1:25:-44,5c:60:ba:2c:29:05:-47,f8:0b:cb:f3:88:00:-47,2e:98:11:8b:1f:9e:-54
2026-04-09 13:32:30,ci_lab,40:01:7a:53:96:81:-35,6c:31:0e:56:e1:25:-44,5c:60:ba:2c:29:05:-47,f8:0b:cb:f3:88:00:-47,2e:98:11:8b:1f:9e:-54
2026-04-09 13:32:33,ci_lab,40:01:7a:53:96:80:-35,6c:31:0e:56:e1:24:-43,6c:31:0e:56:e1:25:-43,40:01:7a:53:96:8e:-45,40:01:7a:53:96:8d:-45
2026-04-09 13:32:34,ci_lab,40:01:7a:53:96:80:-35,6c:31:0e:56:e1:24:-43,6c:31:0e:56:e1:25:-43,40:01:7a:53:96:8e:-45,40:01:7a:53:96:8d:-45
2026-04-09 13:32:36,ci_lab,40:01:7a:53:96:80:-35,6c:31:0e:56:e1:24:-43,6c:31:0e:56:e1:25:-43,40:01:7a:53:96:8e:-45,40:01:7a:53:96:8d:-45
2026-04-09 13:32:39,ci_lab,40:01:7a:53:96:80:-35,6c:31:0e:56:e1:24:-43,6c:31:0e:56:e1:25:-43,40:01:7a:53:96:8e:-45,40:01:7a:53:96:8d:-45
